game_index,event,date,round,white,black,result,ply,color,player,move,rank,best_move,depth_best,depth_min,depth_max
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,1,black,"Niemann, Hans Moke",c6,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,2,white,"Colas, Joshua",e4,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,3,black,"Niemann, Hans Moke",d5,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,4,white,"Colas, Joshua",exd5,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,5,black,"Niemann, Hans Moke",cxd5,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,6,white,"Colas, Joshua",d4,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,7,black,"Niemann, Hans Moke",Nf6,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,8,white,"Colas, Joshua",Nc3,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,9,black,"Niemann, Hans Moke",g6,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,10,white,"Colas, Joshua",cxd5,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,11,black,"Niemann, Hans Moke",Bg7,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,12,white,"Colas, Joshua",Bb5+,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,13,black,"Niemann, Hans Moke",Nbd7,B,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,14,white,"Colas, Joshua",Nge2,>10,d6,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,15,black,"Niemann, Hans Moke",a6,1,a6,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,16,white,"Colas, Joshua",Bxd7+,3,Bd3,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,17,black,"Niemann, Hans Moke",Qxd7,1,Qxd7,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,18,white,"Colas, Joshua",Qb3,3,O-O,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,19,black,"Niemann, Hans Moke",O-O,1,O-O,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,20,white,"Colas, Joshua",O-O,3,Bg5,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,21,black,"Niemann, Hans Moke",Rd8,1,Rd8,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,22,white,"Colas, Joshua",Bg5,1,Bg5,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,23,black,"Niemann, Hans Moke",Qg4,>10,b5,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,24,white,"Colas, Joshua",Bf4,1,Bf4,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,25,black,"Niemann, Hans Moke",b5,2,Qd7,17,17,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,26,white,"Colas, Joshua",Be5,>10,Bc7,17,17,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,27,black,"Niemann, Hans Moke",Bb7,1,Bb7,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,28,white,"Colas, Joshua",Bxf6,3,h3,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,29,black,"Niemann, Hans Moke",Bxf6,1,Bxf6,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,30,white,"Colas, Joshua",a4,1,a4,17,17,17
